Nome: NOVA UBIRATA
Codigo Estacao: A929
Latitude: -13.41111111
Longitude: -54.75222222
Altitude: 466.48
Situacao: Pane
Data Inicial: 2008-04-12
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-12;null;null;null;null;null;null;null;null;null;null;
2008-04-13;null;null;null;null;null;null;null;null;null;null;
2008-04-14;null;null;null;null;null;null;82,8;57;13,9;null;
2008-04-15;16,6;958,9;20,3;29,7;23,7;19,5;83;51;9,7;2,9;
2008-04-16;1,8;960;20,7;31,6;22,5;20;89,8;50;11,3;2,7;
2008-04-17;11,6;961;20,8;31,3;23,9;20,2;84,5;49;7,3;2,9;
2008-04-18;0;960;21,2;31,1;23,5;20,4;87,8;52;11,1;3;
2008-04-19;8,8;958,7;21;30,4;24,2;20,4;83,3;54;9;1,6;
2008-04-20;,4;958,7;21,1;30,3;23,9;21,2;85,5;55;10,4;2;
2008-04-21;,2;959;20,6;30,7;24,9;20,9;78,9;45;9,4;2,5;
2008-04-22;,4;959,4;20,5;30,5;24,5;20,6;80,4;48;6,3;2,6;
2008-04-23;0;958,5;21;31,4;24,8;20,6;81,2;50;10,8;2,5;
2008-04-24;0;958,8;20,6;29,7;23,6;20;84,3;55;11,6;2;
2008-04-25;2;957,7;20;31,4;24;19,1;80,6;48;7,3;1,5;
2008-04-26;,2;957,4;21,5;30,4;24,9;20,7;82;54;8;1,7;
2008-04-27;,6;957,6;21,2;31,7;25,2;20,7;80,4;49;7,9;2,2;
2008-04-28;,8;957,1;21,4;32;25,6;21,3;79,3;51;9,4;1,9;
2008-04-29;0;957,8;21,8;31,6;24,9;21,3;83,7;56;9,4;2,1;
2008-04-30;34,2;958,5;21,5;25,7;23;21,6;91,4;76;5,9;1,9;
2008-05-01;12,2;958,2;21;29,3;23,7;21;86;58;7,1;2,7;
2008-05-02;,2;959,7;19,2;23,4;21,5;20,4;86,8;73;11,2;5,1;
2008-05-03;0;961,5;14,7;23,1;18,8;14,7;77,8;62;10,2;4,7;
2008-05-04;0;961,9;15,1;27,8;20,1;14,5;74,2;51;9,3;3,7;
2008-05-05;0;961,8;16,8;27,2;20,9;16,2;78,3;58;6,8;3,1;
2008-05-06;0;960,3;17,8;30,7;23,3;17,2;74,2;42;6,5;2;
2008-05-07;0;959,7;19,1;31,4;24,8;18,7;73;42;6,5;2;
2008-05-08;0;959,6;19,4;30,3;24,5;18,8;74,6;47;6,1;2,6;
2008-05-09;0;959,7;20;30,2;24;20,3;79,6;51;9,1;2,2;
2008-05-10;0;960,1;19,7;31,4;25,2;20,4;74,8;43;8,5;2,4;
2008-05-11;0;961;19,2;31,1;24,9;19,1;73;40;6,8;2,6;
2008-05-12;0;962;18,6;31,3;23,9;18,4;75,2;40;7,8;2,2;
2008-05-13;0;962;19;30,6;24,2;19,9;75,4;41;7,7;2,9;
2008-05-14;0;962,1;18,7;30,5;23,6;18,6;76,7;38;7;2,5;
2008-05-15;0;961,6;17,5;30,4;23,6;17,3;71,3;39;6,5;2,5;
2008-05-16;0;961,7;18,3;30,4;24,1;18,9;72,1;43;6,8;2,2;
2008-05-17;0;961,2;17,9;30,7;23,4;17,5;73,3;43;8,2;3,6;
2008-05-18;0;960,9;18,2;32,6;24,3;17,8;72,3;36;8,6;3;
2008-05-19;0;961;18,9;31,7;24,8;19,5;72,3;39;7;2,7;
2008-05-20;0;960,7;17,5;32,4;25;19,1;67,2;30;8,4;3,1;
2008-05-21;0;959,6;16,3;31,8;24,5;18,5;63,7;31;7,4;2,5;
2008-05-22;0;960,4;14,1;31,3;23,3;16;60,3;28;6,8;2,6;
2008-05-23;0;960;14,9;31,1;22,8;14,4;63,5;35;8,3;2,7;
2008-05-24;0;960,5;15,3;31,7;23,8;16,4;63;30;7,3;2,2;
2008-05-25;0;958,9;14,9;31,3;23,6;15,6;61,7;30;9,4;2,4;
2008-05-26;0;959,4;16,1;31,7;23,7;16,2;65,3;33;8,7;2,6;
2008-05-27;0;958,9;17,7;31,8;24;16,7;70,4;41;9,5;3,3;
2008-05-28;0;958,8;18,9;32;24,6;19;72,8;42;8,5;2,7;
2008-05-29;0;959,6;18,8;31,8;24,7;19,2;72,5;41;10,7;1,9;
2008-05-30;1;962,8;18,8;24,7;21,3;20,1;85,8;70;10,9;4,5;
2008-05-31;,4;963,7;16,5;28,8;20,7;15,7;79;52;8,9;4,1;
2008-06-01;0;963,7;17,4;29;21,2;16,4;80,3;53;10,1;4,2;
2008-06-02;0;962,4;17,2;30,9;22,5;17,4;75,3;40;10,5;3,7;
2008-06-03;0;961,9;16;30,9;23,3;16,6;66,6;33;9,2;3,2;
2008-06-04;0;961,6;14,9;30,6;22,9;16,1;64,6;33;9;2,9;
2008-06-05;0;962;13,3;30,9;22,7;15;59,7;29;13,7;3,6;
2008-06-06;0;962,4;13,6;32;23,3;14,3;59;28;8,6;2,2;
2008-06-07;0;961,2;13;32,3;23,9;15,9;55,9;23;9,4;2,9;
2008-06-08;0;960,9;12,9;32;24,1;17;52,1;28;9,7;3,4;
2008-06-09;0;961,6;14,7;32,7;24,2;17,8;58,7;27;9,4;2,8;
2008-06-10;0;961,2;14,9;32,3;24,5;17,4;59;30;8;2,7;
2008-06-11;0;960,7;15,3;31,8;23,4;15,8;64,2;32;9,1;2,3;
2008-06-12;0;961,5;15,4;31,9;24,4;16,5;61;32;8,4;2,7;
2008-06-13;0;961,3;15;32,3;24,4;17;59,5;31;7,9;2,4;
2008-06-14;0;959,8;13,2;31,8;23,9;15,6;55,9;26;12,7;2,7;
2008-06-15;0;961,1;13;32,1;24,1;15,7;53,7;26;8,5;2,1;
2008-06-16;0;962,6;15,8;31,3;23,6;16,8;63,3;37;11,6;3,8;
2008-06-17;0;961,4;14,5;31,6;21,8;14,3;68,8;29;12,5;3,2;
2008-06-18;0;960,2;14,1;31,9;23,6;15,4;59,6;29;9,5;2,4;
2008-06-19;0;959,5;15,5;31,9;23,8;15,3;62,7;35;10,9;3,3;
2008-06-20;0;960,2;14,9;32,4;24,1;17,6;59,8;31;9,8;2,7;
2008-06-21;0;960,2;13,1;32,5;23,9;16,1;56;27;11,5;2,8;
2008-06-22;0;960,6;15;30,8;22,1;15,9;68,8;34;8,1;3,1;
2008-06-23;0;961,7;15,2;31;22,1;14,9;70,4;30;7,5;3,4;
2008-06-24;0;963,2;14,5;31,2;22,4;16,2;66,1;29;8,1;2,5;
2008-06-25;0;962,3;13,5;31,7;22,9;16,2;61,6;24;8,1;3;
2008-06-26;0;961,1;11,5;32,1;23,6;13,3;51;20;12,3;2,8;
2008-06-27;0;962,8;11,9;31,8;23,7;15,6;51,7;23;9,9;2,4;
2008-06-28;0;964,2;11,4;31,9;23,4;15,4;51;23;10,6;3,5;
2008-06-29;0;963,7;10,4;31,5;23,1;13,6;48,2;24;10,2;2,8;
2008-06-30;0;962,6;12;32;23,4;14,5;52,4;25;10,1;2,8;
2008-07-01;0;962,6;11,2;32,4;23,5;15,7;50;23;9,9;3,3;
2008-07-02;0;963,1;10,5;32,3;23,7;14,4;46,6;24;14,1;3,5;
2008-07-03;0;962,7;12,8;32,9;23,9;14,6;53,2;29;8,1;2,7;
2008-07-04;0;962,1;11,2;32,5;24,5;15,3;48;21;11,1;3,1;
2008-07-05;0;961,2;9,3;31,7;23,3;14,7;46;20;9,6;3,3;
2008-07-06;0;961,7;8,9;32,2;23,5;15,6;42,8;20;10,4;3,6;
2008-07-07;0;962,5;11,7;32,9;24,9;17,8;45,9;24;9,7;3,7;
2008-07-08;0;962;12,3;32,4;23,9;14,3;52,3;22;10,3;3,3;
2008-07-09;0;961,8;8,7;32,1;24,7;17,8;39,1;19;10,5;4,2;
2008-07-10;0;963;5,4;31,2;21,9;11,8;38;16;12,4;3,9;
2008-07-11;0;963,8;7;31,4;22,4;11,1;39,2;23;10,2;3,3;
2008-07-12;0;963,2;9,4;31,7;23,2;15,3;44,4;23;10;3,8;
2008-07-13;0;961,7;11,3;31,4;23,4;15,1;49,5;25;7,9;2,9;
2008-07-14;0;962,3;9,9;31,5;24,6;18,5;41,6;21;10,7;3,9;
2008-07-15;0;963,8;7,6;30;21,9;14,2;42,5;22;12;4,1;
2008-07-16;0;963,7;9,1;30,9;22,5;15,3;45,4;23;12,9;4,2;
2008-07-17;0;962,1;9,3;30,8;22,5;15,5;47,1;21;11,2;3,9;
2008-07-18;0;962,2;10,3;31,2;23,2;15,1;46,7;26;8,9;3,3;
2008-07-19;0;962,1;11,9;33,4;24,9;15,3;48,5;21;8,3;2,7;
2008-07-20;0;961,8;11,2;34,3;25,3;14,9;46,2;19;11,8;2,8;
2008-07-21;0;960,8;11,4;34,1;25,3;15;46,4;20;11,6;3,1;
2008-07-22;0;961,3;10;33,7;24,8;16,4;43,4;19;10,7;3,9;
2008-07-23;0;961,4;7,6;32,6;24,4;13,9;37,7;17;11,7;3,9;
2008-07-24;0;961,6;9;33,1;24,5;12,4;40,8;21;9,3;3;
2008-07-25;0;961,7;9,4;34,3;24,7;14,8;42;18;9,8;2,8;
2008-07-26;0;961,3;8,3;34,2;25;14,3;39,4;16;14,2;3,2;
2008-07-27;0;961,6;7,6;34,2;25,1;14,6;36,3;14;14,7;4,2;
2008-07-28;0;962,6;8,3;33,6;25,4;18,2;36,4;18;12,6;4,5;
2008-07-29;0;961,9;9;32,8;24,6;16,8;39,8;21;10,1;3,9;
2008-07-30;0;960,7;8,5;31,9;24,6;17,3;39,1;20;11,8;4;
2008-07-31;0;959,9;8,6;32,3;23,5;13,6;42;21;10;2,8;
2008-08-01;0;959,4;11,1;33,6;25,4;17,8;43,9;22;8,3;3,1;
2008-08-02;0;958,6;11,5;34,3;25,8;17,9;44;20;14,5;3,1;
2008-08-03;0;958,9;13,4;33,9;26,5;18,1;46,8;27;15,4;2,5;
2008-08-04;0;959;14,5;34;25,1;17,2;56,9;24;11,5;3,2;
2008-08-05;0;959,3;12,1;35,3;27,4;18,5;43,5;18;10,1;3;
2008-08-06;0;958,6;10,8;36,2;27,4;16,6;39,3;14;11,6;2,8;
2008-08-07;0;959,2;10,5;36,5;27,9;21;36,4;17;14,3;3,6;
2008-08-08;0;959,9;10,5;34,6;26,8;18;39,2;19;10,7;3,7;
2008-08-09;0;960,7;8,9;35,5;26,1;15,1;38,9;14;14;3;
2008-08-10;0;960;10,5;35;26,1;16,8;40,5;19;10,4;3,3;
2008-08-11;0;959;10,5;35,5;27,2;17,9;37,7;21;15,2;3,3;
2008-08-12;0;959,8;10,1;34,4;26,5;16,4;39,8;17;10,9;3,3;
2008-08-13;0;961;8,4;34,7;26;17,2;37;14;12,8;4,9;
2008-08-14;null;null;null;33,9;null;17,9;38,5;17;12,5;null;
2008-08-15;null;null;null;null;null;null;null;null;null;null;
2008-08-16;null;null;null;33,8;null;null;null;18;13,3;null;
2008-08-17;0;959,4;7,3;34,2;26,7;18,4;30,5;18;10,7;2,5;
2008-08-18;0;959,7;9,5;34,4;26;16,3;38,3;19;8,3;2,3;
2008-08-19;0;959,9;9,4;34,3;26,8;19,2;36,5;19;12,9;3,9;
2008-08-20;0;959,8;7,5;34,4;25,8;16,8;34,4;15;11;4,1;
2008-08-21;0;959,7;8,6;34;25,8;16,1;36,2;19;13;3,8;
2008-08-22;0;959,9;7,8;34,8;26,2;16,3;35,4;15;11;3,2;
2008-08-23;0;959,9;5,9;35,1;26,9;17,9;28,8;14;10,1;3,4;
2008-08-24;0;959,3;8,1;36;27,1;16,4;32,9;17;10;2,7;
2008-08-25;0;959,7;9,6;36,9;28,6;20,8;33,3;16;12,2;3,2;
2008-08-26;0;959,5;8,9;35,6;28;20;32,6;16;13;4,1;
2008-08-27;0;958,2;8,5;35,2;27,1;17,6;34,6;15;11,4;3,1;
2008-08-28;0;957,5;6,4;35,7;28,2;19,2;27,4;15;10,2;3,3;
2008-08-29;0;958;9;35,8;27,3;17,1;34;15;11,7;3,6;
2008-08-30;0;957,6;12,9;35,8;27,1;18,9;47;19;10,7;4,1;
2008-08-31;0;957,9;10,1;36,5;27,7;18,8;35,3;19;12,3;4,5;
2008-09-01;0;958;11,3;36,5;28,3;21,1;36;16;14,3;4;
2008-09-02;0;957,3;12,5;36,6;28,7;21,3;39,8;19;13,9;4,4;
2008-09-03;0;957,4;10;37;28,1;20,1;36;15;11;3,8;
2008-09-04;0;958,5;10,1;35,7;27,2;18,1;36,1;17;10,9;3,2;
2008-09-05;0;958,1;14,1;35,9;28;20,6;45;24;9,6;2,6;
2008-09-06;0;959,8;14,1;34;26,6;20,3;48,4;30;11,2;5;
2008-09-07;0;961,5;11,6;34,6;25,2;16,5;44,4;28;12,3;5,2;
2008-09-08;0;959,9;12,2;38,2;27,7;19,3;43;15;11,5;5;
2008-09-09;0;959,4;10;38,9;29,5;20;34;12;13,2;3,2;
2008-09-10;0;960,1;13,4;37,9;28,9;19,5;41;18;12,9;3,4;
2008-09-11;0;960,3;14,3;36,9;28,4;21,1;46,6;20;14;3,3;
2008-09-12;0;959,5;7;37,7;29,6;21,6;30,2;9;13,4;2,9;
2008-09-13;0;959;10,7;36,7;28,6;20,3;37,2;15;9,5;3,6;
2008-09-14;0;959,4;15,8;35,6;27;20;54,5;24;9,1;4;
2008-09-15;0;959,6;14,4;37,5;28;19,6;48,5;16;8,1;2,5;
2008-09-16;0;959,8;14,1;37;28,7;22,2;43;22;11,6;5,1;
2008-09-17;0;959,3;13,7;36,5;28,1;19,6;42,9;24;13,4;3,4;
2008-09-18;0;958,4;14,6;36,5;28,1;20,4;48,1;19;9,4;3,8;
2008-09-19;0;957,8;14,8;36,8;28,3;21,8;46,3;26;12,1;3,9;
2008-09-20;4,8;961;18,3;29,4;23,6;20,2;74,4;42;11;4,4;
2008-09-21;1;963,5;18,5;23,7;21,3;20;84,6;68;8,7;4,1;
2008-09-22;,2;962,8;14;29,5;22,4;17,2;64;32;7,3;2,9;
2008-09-23;0;959,5;10,2;35;25;15,3;45,1;19;10,1;2,6;
2008-09-24;0;958;3,9;37,9;26,7;16;26,3;11;8,5;3,3;
2008-09-25;0;958,7;5,5;37,8;28,6;18,9;25;12;14,1;4,2;
2008-09-26;0;958,9;14,9;35,7;27,5;19;48,3;27;10,3;3,4;
2008-09-27;0;957,6;18,3;35,4;26,4;20,6;64,3;29;24,2;3,2;
2008-09-28;49,8;958,3;19,7;33,1;25,4;18,8;72,6;37;20;3,1;
2008-09-29;7,2;959,2;19,5;34,9;27,1;21,2;67,4;29;8,6;2,3;
2008-09-30;0;959,8;18,3;36,5;27,7;20,6;61,7;27;10,5;2,6;
2008-10-01;0;958,1;19,2;35,6;26,6;22,1;68;32;19,6;3,7;
2008-10-02;1;957;19,7;35,5;26,1;21,6;71,2;31;12,7;3,8;
2008-10-03;1,2;958,6;19,6;31,9;25;20,7;74,4;42;15,2;4,8;
2008-10-04;0;958,6;19,1;34,9;27,1;20,8;65,6;29;8,7;2,5;
2008-10-05;0;957,5;18,1;36,1;28,4;22,7;56,9;26;14;3;
2008-10-06;,2;960,1;18,8;34;25,8;20,8;68,3;34;14,9;3,8;
2008-10-07;1,4;961,8;18,1;34;26,1;21;66,2;31;12,8;4,8;
2008-10-08;0;960,1;16,5;35,4;27,3;20,1;55,9;27;12,1;5,1;
2008-10-09;0;958,3;16,1;36;27,7;20,6;53,3;25;11,7;5;
2008-10-10;0;957,2;16,2;36;28,3;20,9;50,6;25;11,1;2,8;
2008-10-11;0;957;17,7;35,3;26,6;21,6;61;21;13,6;3,3;
2008-10-12;,2;958,2;18,6;35,4;25,5;20,7;69;24;22,9;2,5;
2008-10-13;,8;957,6;15,2;36,7;28;20,3;53;17;13,8;3,7;
2008-10-14;0;956,8;11,7;38,5;29,6;21,1;37,3;14;14,1;3,8;
2008-10-15;0;957,7;12,1;38,8;29,6;20,1;37,8;16;12,2;2,4;
2008-10-16;0;958,7;12,7;38,4;30,8;23,4;36,4;16;9,4;2;
2008-10-17;0;958;16;38,3;28,8;22,4;48,3;20;10,5;2,7;
2008-10-18;0;959,2;17,6;33,7;26,5;22,5;60,1;32;13,6;4,8;
2008-10-19;0;960,1;17,6;34;26;20,3;63,8;29;11,8;2,9;
2008-10-20;1;959,7;19,6;32,7;25,7;22;71,7;38;9,1;2,7;
2008-10-21;9;960,6;20,6;25,7;23,2;21;85,8;74;8,1;2,8;
2008-10-22;5,4;960,4;20,1;32,2;24,3;20,8;79,5;40;11,4;3,2;
2008-10-23;,6;959,2;18,8;35,7;27,6;22,3;63,2;28;7,9;2,2;
2008-10-24;,4;958,7;20;30,9;26,3;23;69,4;47;11,4;3,2;
2008-10-25;0;958,6;19,2;34,8;26,8;21,2;67,8;29;9;2,8;
2008-10-26;0;959,1;18,6;35,3;28;23;58,6;31;10,1;2,7;
2008-10-27;0;959;18,4;34,5;27,3;21,8;60,5;34;15,5;2,6;
2008-10-28;0;957;18,3;36,7;28,7;21,9;57,5;29;8,1;2,5;
2008-10-29;20,2;957,9;19,7;30,6;23,7;20,5;79,3;50;11,7;3,3;
2008-10-30;5,6;959,6;20,6;29,8;24;19,7;82,3;54;8,1;2,5;
2008-10-31;0;958,8;20,4;33,3;26,3;22,1;73,1;35;6,6;1,4;
2008-11-01;0;957,3;19,9;34,1;27,2;21,5;66,9;37;9;2,2;
2008-11-02;3,6;959,3;20,5;33,6;25,6;21,9;75,9;42;14,1;3;
2008-11-03;52,6;960,5;20,9;31,9;25,6;20,8;77;49;9,5;3,2;
2008-11-04;0;958,5;20,7;32;27;22,8;69,3;45;11;2,2;
2008-11-05;0;957,1;19,2;35,9;27,9;22,2;62,8;30;11,2;2,4;
2008-11-06;58,6;958,7;20,8;28,7;24,2;20,7;82,4;47;19,8;4,1;
2008-11-07;0;958,4;20,4;31;25,2;20,6;77;48;9,6;2,7;
2008-11-08;0;957,2;20,3;33,7;26,8;21,5;70,7;38;8,9;2,4;
2008-11-09;0;956,9;20,4;34,7;27,6;22,4;67,8;36;12,9;2,2;
2008-11-10;2,6;958,5;20,7;26,1;23,7;22;83,5;64;11,4;4;
2008-11-11;0;957,6;20,1;31,4;25;20,5;76,6;40;10,4;1,7;
2008-11-12;0;955,4;20,9;30,9;25,4;23,5;77,3;49;11;2,4;
2008-11-13;41,2;955,7;20,8;28,2;23,4;20,3;85,8;64;8,3;2,8;
2008-11-14;7,6;955,2;21,7;31,5;24,6;21,8;84,9;52;9,9;2,9;
2008-11-15;1,8;955,3;21,4;32,2;25,1;22;81,6;48;13,2;2,6;
2008-11-16;3,8;955,9;21,3;32;24,3;22;84,8;49;11,5;2,1;
2008-11-17;29,2;957;20,9;29,4;23,4;21;86,6;62;12,6;2,5;
2008-11-18;,4;958,1;20,9;27,6;24,2;21,7;82,7;63;5,5;1,6;
2008-11-19;,4;957;21,5;29,8;24,4;22,3;84,3;57;10,4;3,5;
2008-11-20;,4;957,3;21,2;27,2;24,2;22,2;84;67;11,1;2,7;
2008-11-21;0;957,9;21,8;27,6;24,1;22,2;87,5;65;8,8;1,7;
2008-11-22;26,8;958,8;21,8;28,3;23,9;21,8;88,8;67;7,6;2,3;
2008-11-23;12,4;957,8;21,6;31,7;24,5;21,9;85,2;51;9,5;2,1;
2008-11-24;23,2;956,6;21,5;31,7;25,5;21,1;80;48;8,3;1,8;
2008-11-25;7,8;957,2;21,5;30,3;24,6;21,3;83,6;54;13,2;2,4;
2008-11-26;5;958;21,6;30,2;24,3;21,3;85,8;54;11,3;2,5;
2008-11-27;14,6;958,9;21,7;26,4;23,5;21,4;90;78;8,3;2,5;
2008-11-28;6,2;957,9;21,3;25;22,8;21,2;91,8;79;8,8;2,8;
2008-11-29;,8;956,9;21;30,7;25;21,2;80,4;50;6,6;1,9;
2008-11-30;74;957,5;20,9;30;24,2;20;82,8;56;11,1;2,2;
2008-12-01;5,4;null;null;null;null;21;88,1;64;8,4;null;
2008-12-02;null;null;null;null;null;null;null;61;13,1;null;
2008-12-03;null;956,2;20,9;26,5;23,3;21,6;86,7;71;10,5;3,8;
2008-12-04;null;null;null;null;null;21,4;null;85;2,3;null;
2008-12-05;null;null;null;null;null;null;null;null;null;null;
2008-12-06;null;null;null;null;null;null;null;null;null;null;
2008-12-07;null;null;null;null;null;null;null;null;null;null;
2008-12-08;null;null;null;null;null;null;80,3;53;11,9;null;
2008-12-09;2,6;959,7;20,9;32,3;25,6;20,9;78;41;10,9;1,9;
2008-12-10;0;956,8;20,7;33,3;27;21,4;70,2;38;14;2,2;
2008-12-11;1,8;957,1;21,2;31;24,3;20,8;83,8;52;16,4;2,4;
2008-12-12;17,6;957,2;22;30,3;25,3;21,3;83;57;7,1;1,9;
2008-12-13;,2;958;21,3;25,7;23,1;22,4;90;74;8,7;2;
2008-12-14;null;null;null;30,2;null;21,2;81,1;59;7,6;null;
2008-12-15;null;null;null;null;null;21,9;null;87;5,8;null;
2008-12-16;null;null;null;null;null;null;null;null;null;null;
2008-12-17;null;null;null;null;null;null;null;85;4,4;null;
2008-12-18;null;null;null;null;null;null;null;null;null;null;
2008-12-19;null;null;null;null;null;null;null;null;null;null;
2008-12-20;null;null;null;null;null;null;null;null;null;null;
2008-12-21;null;null;null;null;null;null;null;61;10,8;null;
2008-12-22;null;null;null;null;null;null;null;null;null;null;
2008-12-23;null;null;null;null;null;null;null;null;null;null;
2008-12-24;null;null;null;null;null;null;null;null;null;null;
2008-12-25;null;null;null;null;null;null;null;null;null;null;
2008-12-26;null;null;null;null;null;null;null;null;null;null;
2008-12-27;null;null;null;null;null;null;null;null;null;null;
2008-12-28;null;null;null;null;null;null;null;null;null;null;
2008-12-29;null;null;null;null;null;null;null;null;null;null;
2008-12-30;null;null;null;null;null;null;null;null;null;null;
2008-12-31;null;null;null;null;null;null;null;null;null;null;
2009-01-01;null;null;null;null;null;null;null;null;null;null;
2009-01-02;null;null;null;null;null;null;null;null;null;null;
2009-01-03;null;null;null;null;null;null;null;null;null;null;
2009-01-04;null;null;null;null;null;null;null;null;null;null;
2009-01-05;null;null;null;null;null;null;null;57;5,9;null;
2009-01-06;null;null;null;null;null;null;null;null;null;null;
2009-01-07;null;null;null;null;null;null;null;null;null;null;
2009-01-08;null;null;null;null;null;null;null;54;10,7;null;
2009-01-09;null;null;null;null;null;null;null;null;null;null;
2009-01-10;null;null;null;null;null;null;null;null;null;null;
2009-01-11;null;null;null;null;null;null;null;null;null;null;
2009-01-12;null;null;null;null;null;null;null;null;null;null;
2009-01-13;null;null;null;null;null;null;null;null;null;null;
2009-01-14;null;null;null;null;null;null;null;null;null;null;
2009-01-15;null;null;null;null;null;null;null;null;null;null;
2009-01-16;null;null;null;null;null;null;null;null;null;null;
2009-01-17;null;null;null;null;null;null;null;91;null;null;
2009-01-18;null;null;null;null;null;null;null;null;null;null;
2009-01-19;null;null;null;null;null;null;null;null;null;null;
2009-01-20;null;null;null;null;null;null;null;null;null;null;
2009-01-21;null;null;null;null;null;null;null;null;null;null;
2009-01-22;null;null;null;null;null;null;null;null;null;null;
2009-01-23;null;null;null;null;null;null;null;null;null;null;
2009-01-24;null;null;null;null;null;null;null;null;null;null;
2009-01-25;null;null;null;null;null;null;null;null;null;null;
2009-01-26;null;null;null;null;null;null;null;68;8,3;null;
2009-01-27;17,8;958,4;21,8;28;24,2;21,8;87;66;8,2;2,3;
2009-01-28;4,8;958,4;21,6;28,4;23,7;21,8;88,8;65;17,1;3,2;
2009-01-29;10;null;null;null;null;21,3;null;93;2,3;null;
2009-01-30;null;null;null;null;null;null;null;null;null;null;
2009-01-31;null;null;null;null;null;null;null;null;null;null;
2009-02-01;null;null;null;null;null;null;null;null;null;null;
2009-02-02;null;null;null;null;null;null;null;null;null;null;
2009-02-03;null;null;null;null;null;null;null;null;null;null;
2009-02-04;null;null;null;null;null;null;null;null;null;null;
2009-02-05;null;null;null;null;null;null;null;null;null;null;
2009-02-06;null;null;null;null;null;null;null;null;null;null;
2009-02-07;null;null;null;null;null;null;null;null;null;null;
2009-02-08;null;null;null;null;null;null;null;55;16;null;
2009-02-09;null;null;null;null;null;null;null;94;13,7;null;
2009-02-10;null;null;null;null;null;null;null;62;5,9;null;
2009-02-11;0;959,7;21,6;30,4;24,5;21,8;84,5;63;10,2;1,7;
2009-02-12;null;null;null;null;null;null;75,9;53;8,9;null;
2009-02-13;1,8;null;null;28,6;null;21,3;89,7;63;8,7;null;
2009-02-14;null;null;null;null;null;null;null;85;7,9;null;
2009-02-15;null;null;null;28,3;null;null;85,5;65;9,1;null;
2009-02-16;null;957;21,4;26,7;null;21,5;89,6;71;8,6;2,4;
2009-02-17;null;null;null;26,5;null;21,3;93,8;74;7,8;null;
2009-02-18;null;null;null;null;null;null;78,4;58;8,2;null;
2009-02-19;1;958,4;20,7;30,2;24,1;20,3;83;51;15,4;2,7;
2009-02-20;null;null;null;30,3;null;19,9;72,9;47;7,4;null;
2009-02-21;0;957,4;20,9;30,2;24,9;21,2;80,1;51;7,7;1,8;
2009-02-22;0;958,7;21;30,3;24,8;20,7;80,8;56;6,2;1,8;
2009-02-23;0;958,2;21,4;30,9;24,6;20,3;83,2;54;11,7;1,9;
2009-02-24;,2;957,6;21,2;29,9;24,2;20,8;84,2;55;8,8;2,1;
2009-02-25;0;958;20,6;29,8;24,2;20,7;82;55;9,5;2,6;
2009-02-26;0;957,9;21,2;31,1;24,9;21,5;81,6;48;8,2;1,9;
2009-02-27;,6;958,6;20,4;31,2;25,1;20,7;77,3;45;11,5;2,6;
2009-02-28;,6;958,4;20,3;31,9;25,6;20,7;75;45;13,3;3,4;
2009-03-01;null;null;null;null;null;null;null;39;8,2;null;
2009-03-02;1;958,9;20,9;32,4;26,3;20,5;74,1;49;8,5;1,5;
2009-03-03;23;959;22,4;33,3;27;22,7;78,1;44;9,7;2;
2009-03-04;0;958,1;21,2;33,6;27,3;22;72,3;40;7,4;1,8;
2009-03-05;0;958,5;21,4;33,1;25,7;21,4;78,9;45;12,4;2,3;
2009-03-06;0;958,5;21,1;33,6;26,1;20,3;76,3;41;8,2;2,2;
2009-03-07;0;958,8;20,6;32;25,2;21;76,7;47;13,3;2,6;
2009-03-08;0;958,9;20,2;31,3;24,6;21,2;78,6;39;15,6;2;
2009-03-09;4;958,6;20,9;28,2;23,1;20,9;87,8;63;12,7;2,3;
2009-03-10;17,8;958,2;21;31,9;24,3;20,1;83,1;49;9,5;2,5;
2009-03-11;0;958,3;21,3;31,1;24,6;22;83,2;54;7,2;2,6;
2009-03-12;,2;957,4;21;32,9;25,7;20,8;77,6;45;12,3;2,6;
2009-03-13;4,8;958,4;20,9;26,4;22,8;21,8;89,3;75;10,9;2,7;
2009-03-14;9;958,7;20;32,4;24,4;19;79;45;7,3;1,8;
2009-03-15;0;959,6;21,1;31,4;24,7;21,1;81,5;54;14;2,4;
2009-03-16;10,8;958,8;21,3;31,8;23,9;21,2;86,1;52;12,7;2,5;
2009-03-17;0;959,1;21,1;29,8;23,6;21;86,2;56;10,9;2,8;
2009-03-18;4;959,2;21;31,4;25;21,1;80,6;53;7,4;2,9;
2009-03-19;1;958;21,1;32,9;25,7;21,6;77,8;46;9,1;2,7;
2009-03-20;0;958;21,2;32,2;25,7;21,5;78;44;8;2,5;
