Nome: BARRETOS
Codigo Estacao: A748
Latitude: -20.55916666
Longitude: -48.54499999
Altitude: 534.36
Situacao: Operante
Data Inicial: 2010-06-18
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2010-06-18;null;null;null;null;null;null;null;null;null;null;
2010-06-19;null;null;null;null;null;null;null;15;null;null;
2010-06-20;0;952,7;9,2;31,9;20,1;10,2;55,6;21;6,4;1;
2010-06-21;0;null;null;null;null;9,5;null;56;1,8;null;
2010-06-22;null;null;null;null;null;null;null;25;7,6;null;
2010-06-23;null;956,1;14,8;30,4;22,2;15,8;66,7;31;5,3;1,5;
2010-06-24;0;957,2;14;30,7;21,6;14,3;66,9;31;8,5;1,2;
2010-06-25;0;959,2;12,3;30,2;21,5;12,5;60,5;27;5,7;1,2;
2010-06-26;0;958,1;11,4;29,7;20,8;13,9;60,3;25;6,7;1,2;
2010-06-27;0;958,2;8,9;27,4;18,2;9,5;59,5;25;7,5;1,1;
2010-06-28;0;959,3;8,7;28,2;18;9;60,5;24;5,7;1;
2010-06-29;0;958,3;9,8;28,8;19,6;12;56,4;26;6;1,4;
2010-06-30;0;958,9;10,3;28,6;19,1;10,2;61,5;27;7,1;1,4;
2010-07-01;0;958,7;8,6;28;18,7;10;57,4;21;6,9;1;
2010-07-02;0;958;9,3;29,1;18,7;9;59,6;29;6,3;1,2;
2010-07-03;0;958,2;8,9;29,4;19,9;10,7;53,3;25;5,7;1,5;
2010-07-04;0;957,5;8,3;29;20;12,3;49,9;21;7,8;1,5;
2010-07-05;0;957,3;8,2;29;19,3;10,6;53,6;22;9,2;1,3;
2010-07-06;0;957,4;10,4;29,6;19,6;10,1;58,9;28;7,9;1,1;
2010-07-07;0;956,3;8,8;28,6;19,2;10,8;58,4;21;6,3;,9;
2010-07-08;0;956,2;7,1;29;18,9;9;51,8;23;6,5;1,1;
2010-07-09;0;955,9;8,5;30,4;20,5;10,6;51,1;22;6,7;1,1;
2010-07-10;0;955,5;9,8;30,6;20,9;12,2;53,6;25;5,3;,9;
2010-07-11;0;953,4;11;31;21,8;14,5;54,1;24;8,1;1,5;
2010-07-12;0;951,8;12,2;32,6;21,4;12,4;59,8;29;8,5;1,4;
2010-07-13;0;952;15,4;29;21,8;16,1;68,2;43;7,5;1,6;
2010-07-14;,4;955,3;15,1;26,2;18,9;15,5;80,5;54;7,8;1,5;
2010-07-15;0;956,3;16;30,4;21,1;15,5;76,5;37;5,3;1,6;
2010-07-16;0;958,8;15,7;30;22,1;17,2;70,3;34;9,1;2,5;
2010-07-17;0;960,6;13,1;30,7;21,4;15,2;63,8;29;8,1;2,5;
2010-07-18;0;959,5;13,1;29,5;21,5;14,6;63;30;7,9;1,9;
2010-07-19;0;957,6;12;30,5;21,3;13,3;60,2;26;7,2;1,3;
2010-07-20;0;957,3;12,4;30,7;21,2;14;60,7;31;5,5;,9;
2010-07-21;0;956,9;11,3;31,3;22;12,7;57;24;7,7;1,3;
2010-07-22;0;956,7;11,2;32,6;23;14,8;51,4;24;7,6;1,4;
2010-07-23;0;958,5;11,7;32,3;22,6;14,1;54,9;25;5,9;1;
2010-07-24;0;958,5;9,9;32,1;22,1;12,6;52;14;10;1,9;
2010-07-25;0;959,3;8;28,6;19,9;10,9;52,3;20;8,5;1,6;
2010-07-26;0;958,1;7,4;29,5;19,3;9,3;52,3;19;7,6;1,3;
2010-07-27;0;958,1;8,5;30,1;20,5;13;49,4;23;9;1,5;
2010-07-28;0;958,8;9,5;29,5;20,6;11,5;52,8;25;8,4;1,6;
2010-07-29;0;958,2;10,2;30,3;23,8;18,9;44,9;22;8,7;1,8;
2010-07-30;0;956,1;9,3;29,4;20,2;11,1;53,3;27;6,9;1,3;
2010-07-31;0;953,8;8,6;31,1;21,5;12;49,4;20;6,8;1,3;
2010-08-01;0;953,2;8,2;33,3;22;12,3;46,6;18;6,4;1;
2010-08-02;0;955;10,1;32,7;22,8;14,6;50;18;7;1,4;
2010-08-03;0;null;null;31,4;null;12,9;61,5;21;5,3;null;
2010-08-04;null;956,9;10,7;31,4;20,8;13,3;58,6;20;8,8;2,1;
2010-08-05;0;958,1;11,1;28,9;19,8;12,7;61,3;28;8,8;1,9;
2010-08-06;0;957,6;10,2;27,3;19,1;12,2;60,8;29;6,7;1,5;
2010-08-07;0;957,1;7,2;30;19,1;9,8;51,1;21;5,7;1,6;
2010-08-08;0;956,5;8;32,3;21,1;10,1;48,8;20;7,4;1,2;
2010-08-09;0;956,5;7,8;32,6;22,5;11,5;44,6;17;6,8;1,1;
2010-08-10;0;958;7;32;22,6;14,1;40,8;16;7,6;1,9;
2010-08-11;0;958,1;10,4;31,4;21,9;14,3;51,8;24;7,5;2;
2010-08-12;0;957,2;10;30,9;23,4;18;45,8;22;10,3;1,7;
2010-08-13;0;956,8;9;31;22,6;14,1;45,4;23;9,5;2,1;
2010-08-14;0;956,5;8,1;25,7;19,7;13,9;49,5;26;7,5;1,6;
2010-08-15;0;957,2;8,1;27,2;19,8;14,8;49,3;26;9,9;1,8;
2010-08-16;0;959,4;3,5;24,5;15,1;6,8;51,2;19;12,1;3,2;
2010-08-17;0;959,5;3,6;27,9;17,2;7;45,6;18;8,3;2,1;
2010-08-18;0;959,1;2,9;28,6;17,7;9;43;14;8,1;1,7;
2010-08-19;0;957,9;4,3;28,6;18;8,1;45,9;16;7,7;1,1;
2010-08-20;0;957,2;4,3;29,3;19;9,9;42,6;16;6,3;1,1;
2010-08-21;0;957,6;4,4;31,5;20,2;9,9;40,9;15;6,7;1,1;
2010-08-22;0;957,4;2,5;32,8;21;10,3;36;10;7,8;1,1;
2010-08-23;0;955,8;2,8;33;21,5;11,1;35,3;11;7,3;1,2;
2010-08-24;0;955;3,5;33,8;21,8;11;36,1;11;6,9;1;
2010-08-25;0;954,8;3,9;33,9;22,1;10,4;36,6;12;6,5;,9;
2010-08-26;0;954,5;4;34;22,8;12,6;35;12;6,9;1,1;
2010-08-27;0;953,4;4,4;34,5;23,1;12,2;35,3;12;5,7;1;
2010-08-28;0;952,7;4,9;35;23,9;12,5;35;12;7,7;1,1;
2010-08-29;0;953;5,4;36;24,5;13,3;35;12;6,3;1,2;
2010-08-30;0;953,8;6,5;34,9;25,1;14,4;33,3;14;8;1,3;
2010-08-31;0;954,5;9;33,4;24,1;15,3;42,3;19;10;2;
2010-09-01;0;956;8,7;32,3;23,8;15,2;41,7;20;9,8;1,8;
2010-09-02;0;957,2;8,8;32,8;23,3;13,1;44;21;8,2;1,4;
2010-09-03;0;955,7;7,2;34,2;24;13,4;39,9;13;7,7;1,1;
2010-09-04;0;953,6;5,8;36;25,2;14,5;33,6;13;9,1;1,7;
2010-09-05;0;954,5;11,5;32,7;25,9;21,1;42;26;7,1;2;
2010-09-06;0;956,5;11,7;34,3;24,1;15,9;50,2;21;8;2,3;
2010-09-07;0;957,3;14,5;29,5;21,9;18;64,9;33;12,1;2,8;
2010-09-08;2,8;955,9;13,1;30,2;20,9;14,4;66,9;28;7,7;2;
2010-09-09;0;956,1;10,1;32,2;22,3;13,8;53;18;7;2,3;
2010-09-10;0;956,2;10;33,8;24;14,7;45,9;18;7,8;2;
2010-09-11;0;955,7;8,3;33,6;24;14;41,7;14;8,7;1,4;
2010-09-12;0;954,1;4,8;34,3;23,8;13,5;35,2;11;8,7;1,5;
2010-09-13;0;952,9;3,8;34,7;23,5;10,7;34,9;11;9,4;1,6;
2010-09-14;0;953,2;6;35,6;25,2;15,6;32,6;14;8,7;1,7;
2010-09-15;0;953,5;11,9;32,2;24,4;16,5;48,8;26;6,3;1,3;
2010-09-16;0;951,4;11,2;36,7;26,9;18,2;43,1;16;6;1,4;
2010-09-17;0;951,5;9,9;37,4;28;19,1;35,9;14;6,5;1,3;
2010-09-18;0;953,3;12,6;35,8;27,2;19,8;43,1;22;8,1;1,8;
2010-09-19;0;954,4;11,6;35,9;24,4;15,3;50,3;19;10,6;2,8;
2010-09-20;0;953,3;12,5;35,5;26,5;17,7;46;21;10,5;2,4;
2010-09-21;,6;952,9;13,8;34,4;25,8;18,1;52,2;24;13,4;2,1;
2010-09-22;0;952,3;11,4;35,6;27,5;20,2;40,3;18;9,1;1,6;
2010-09-23;0;951,2;9,4;37;27,9;19,6;35,8;14;8,2;1,3;
2010-09-24;0;950,9;10,7;30,5;25;21,3;42,4;23;8,7;1,6;
2010-09-25;,8;951,1;15,8;33,5;24,6;18,6;63,3;29;6,2;1,6;
2010-09-26;1;950,8;17,2;26,9;22;19,4;75;50;13,4;2,8;
2010-09-27;8;950,1;18;21;19,3;17,9;92;81;12,1;2,3;
2010-09-28;18,6;948,6;17,8;21,2;18,8;17,5;94,1;83;10,9;1,8;
2010-09-29;32,6;948,5;18,7;23,5;19,9;17,5;92,6;78;6,2;1,3;
2010-09-30;8,2;950,5;20,2;27,3;22,8;18,8;86,3;66;4,3;1;
2010-10-01;0;950,2;20,4;33,2;24,4;20;81;45;13,4;1,6;
2010-10-02;16,8;952,5;19,5;24,5;22;19,8;86,2;73;9,5;1,6;
2010-10-03;,4;954,3;18,8;28,9;23,2;20,4;77,9;53;8;2;
2010-10-04;0;953,2;17,1;32,5;23,3;17,8;70;39;7,3;1,9;
2010-10-05;0;951,6;17,4;34,8;26,2;19,3;64,3;27;7,1;1,2;
2010-10-06;0;950,4;16,4;37,2;27,5;19,4;56,9;20;7,2;1,5;
2010-10-07;12,2;951,4;18,9;28,5;23;19,7;78,5;48;19,6;2,2;
2010-10-08;12,4;953,4;15,8;27,3;21,6;18,6;72,7;38;9,3;1,9;
2010-10-09;0;955,6;10,4;29,1;20,5;12,3;56;27;10,5;2,4;
2010-10-10;0;956,2;12,1;28,4;19,5;14;65,1;30;9,2;2,6;
2010-10-11;,8;954,6;12,5;30,2;21,6;13,9;59,2;30;7,9;2,4;
2010-10-12;0;954,4;11,2;30,5;21,3;12,9;55,3;26;11,3;2,8;
2010-10-13;0;952,5;11;33,5;23,2;14;49,4;24;6,5;1,9;
2010-10-14;0;951,8;15,8;36,9;27,4;18,3;53,5;23;8,5;1,7;
2010-10-15;11,6;953,9;19,5;29,5;23,9;21;77,8;44;11;1,6;
2010-10-16;,8;952,9;18,6;32,7;24,8;19,7;71,3;34;11,2;1,9;
2010-10-17;0;950,8;18;32,8;26,1;20,1;64;36;7,8;1,4;
2010-10-18;0;950,4;18;29,3;24,1;21,6;69,6;48;10,9;1,8;
2010-10-19;,2;951,8;14;31,2;23,7;16,9;59;29;7,2;2;
2010-10-20;0;951,8;8,8;32,8;23,6;14,5;45;14;7,7;1,7;
2010-10-21;0;950,8;7,3;35,2;25,3;15;36,8;11;9,2;1,4;
2010-10-22;0;948,6;12,2;36,5;26,8;15,7;43;23;9,5;1,5;
2010-10-23;17;949,8;19,5;28,5;22,3;19,9;85,2;46;10,8;1,5;
2010-10-24;,2;949,2;20;30,1;23,7;19,8;81,3;52;8,5;1;
2010-10-25;,8;948,7;18,5;32,6;25,4;19,1;69,4;36;6,2;1,1;
2010-10-26;0;947,3;16,5;32,9;25,6;19,6;61;29;9,4;1,9;
2010-10-27;0;947,5;12;31,4;23,8;16,1;53,9;22;7,5;1,5;
2010-10-28;0;948,4;8,9;33,3;24;14,2;45,9;14;11,1;1,2;
2010-10-29;0;947,9;10,4;36,5;25,9;13,8;46;15;8,9;1,4;
2010-10-30;0;948,3;16,1;35,3;25,2;20,7;59,9;26;14,3;2,3;
2010-10-31;24,4;951,7;18,6;26,7;22,2;18,6;81,2;62;6,8;1,4;
2010-11-01;0;952,3;19,5;29,3;24,4;21;75,4;53;7,2;1,3;
2010-11-02;0;950,4;18,1;28,8;23,6;20;73,4;40;4,5;,9;
2010-11-03;0;949,1;15,3;32,3;24,8;17,2;61;23;5,5;1,2;
2010-11-04;0;949,6;16,3;34;25,8;18,4;59,1;28;7;1,2;
2010-11-05;0;950;18,5;31,4;23,2;18,9;76,3;44;13,4;1,7;
2010-11-06;47,2;948,4;19,2;27,3;22,2;19,5;84,1;63;7,8;1,7;
2010-11-07;0;949,9;14,1;29,9;23,3;15,5;60,2;29;5,4;1,2;
2010-11-08;0;950,8;17,7;33,2;24,8;17,5;67,7;34;6,2;1,3;
2010-11-09;0;950,6;19,6;33,2;25,4;20;72,6;38;9,5;1,4;
2010-11-10;31;950,7;19,1;30,8;24,4;19,5;74,8;44;9,1;2;
2010-11-11;0;952,1;17,6;31,7;24,9;18,6;65,8;42;8,5;2,4;
2010-11-12;0;953;17,1;32,2;24,6;17,6;64,8;42;7,9;1,8;
2010-11-13;0;952,3;18;31;24,3;18,8;69,2;46;9,1;2;
2010-11-14;0;950,9;17,2;29,3;22,6;17,5;73;48;8,2;1,7;
2010-11-15;2,6;950,5;18,3;30,2;23,3;18,1;75,5;41;7;1,5;
2010-11-16;7,8;949,7;18,6;27,4;21,5;18,3;84,7;59;9,8;1,7;
2010-11-17;1,6;948,8;19,2;30,2;23,4;19,6;79,6;42;7,6;1,4;
2010-11-18;,2;948;14,6;30,6;23,8;17,5;63,6;26;12;1,6;
2010-11-19;0;948,2;12;32,9;24;13,8;52,5;22;8,3;1,4;
2010-11-20;0;949,9;16,4;35,1;24,1;17,7;65,9;29;12,5;1,4;
2010-11-21;5,6;949,5;19,9;32,5;24;18,8;79,9;43;9,6;1,3;
2010-11-22;7,8;946,8;20;29;23,7;19,7;81,3;55;6,6;1,7;
2010-11-23;,4;944,9;20,2;29,8;23,8;19,8;81,7;52;7,8;1,3;
2010-11-24;11,8;945,3;19;31,6;25,7;20,5;69,8;35;7,2;1,5;
2010-11-25;0;946,7;19;33,3;27,2;20,5;63,3;39;8;1,9;
2010-11-26;27,4;948,1;20,1;32,5;26,4;20,3;70,9;38;10,5;1,7;
2010-11-27;,2;948,3;17,5;33,6;26,4;19,1;64,1;27;8;1,1;
2010-11-28;0;948;15,1;35,3;26,3;17,2;55,3;14;6,1;1,1;
2010-11-29;0;948,4;18,5;33,3;26,3;20,4;64;38;10,2;1,7;
2010-11-30;0;949,4;20,5;31,8;24,6;20,7;79,1;48;8,8;1,1;
2010-12-01;,8;948,8;20,6;32,9;25,7;20,8;76,2;41;4,9;1,1;
2010-12-02;0;949,1;20,5;32,5;26,9;22,4;69,6;44;10;2,2;
2010-12-03;0;949,2;20,7;34,1;26,8;22,1;71,1;42;9,7;1,8;
2010-12-04;0;949,3;20,6;35;27,2;21,6;71;37;6;1,2;
2010-12-05;18,6;948,8;22;33,2;26;22,6;79,4;49;12,4;1,5;
2010-12-06;7,4;949,2;20,9;31,7;25,2;21,2;78,4;50;10,3;1,3;
2010-12-07;0;947,1;20,4;34,1;27,2;21;69,1;40;6,2;1,3;
2010-12-08;0;946,9;20,7;32,7;25,4;22,5;76,1;53;14,8;2;
2010-12-09;7,4;945,7;19,4;33,6;25,8;19;70;39;5,1;1;
2010-12-10;0;946,5;20,3;35,5;27,7;21,1;66,5;36;6,3;1,5;
2010-12-11;,2;947,6;21,2;34,4;28;23;67,9;42;8,9;1,6;
2010-12-12;0;945,8;20,5;35,3;28,7;23,1;63,7;36;8,7;1,5;
2010-12-13;0;943,1;21,4;33,4;24,9;22,9;82,5;50;14,1;1,5;
2010-12-14;104,6;944,9;20,2;26;22,5;20,3;87;72;8,1;1,4;
2010-12-15;,2;947,3;20,3;29,6;22,6;20,2;87,4;59;7,8;1,1;
2010-12-16;11,6;949,3;21,1;31;23,9;20,9;85,7;53;9,1;1,8;
2010-12-17;8,2;950;20,3;30,8;24;20,7;81,3;46;10,3;1,4;
2010-12-18;,6;950,2;19,7;28,6;23;20,3;83,5;53;12,7;1,4;
2010-12-19;13,8;950,1;19,9;31,1;23,6;19,5;81,5;44;7,1;1,4;
2010-12-20;0;951,8;18,9;32,9;25,7;19,3;69,6;32;5,4;1,2;
2010-12-21;2,8;952,6;19,6;33,3;26,5;20,3;68,1;36;12;1,6;
2010-12-22;,8;951,9;19,6;31,3;25,4;19,8;72,5;47;11,1;1,3;
2010-12-23;,2;948,7;20,2;32,2;26,3;21,6;70,7;44;8,6;1,4;
2010-12-24;14;948,7;20,8;29,1;23,9;20,3;83,4;62;8,4;1,2;
2010-12-25;0;948,7;21,3;29,5;23,7;21,6;87;59;9;1,5;
2010-12-26;14,6;948,7;21,3;29,9;24,2;21,4;85,1;59;12,6;1,4;
2010-12-27;37,8;948;21,4;27,1;23,4;19,8;88,9;65;5,2;1;
2010-12-28;2,8;946,8;21,3;31,3;25,1;21,7;80,8;54;6,9;,8;
2010-12-29;0;945,3;19,2;32,6;25,7;20;69,3;42;7,3;1,4;
2010-12-30;0;945,1;16,9;32,6;24,9;18;63,7;29;6,7;1,8;
2010-12-31;0;944,9;18,8;33,3;25,5;18,6;68,2;39;6,6;1,7;
2011-01-01;26,8;945,3;20,9;33;25;20,7;80,2;45;19,2;1,4;
2011-01-02;80,4;945,1;21,2;28;22,8;20,5;91,3;67;9,1;1,3;
2011-01-03;30;944,7;20,7;29,5;22,8;20,6;89,3;61;8,4;1,5;
2011-01-04;10,2;945,9;20,8;31,5;24,4;20,9;81,6;53;10,8;1,5;
2011-01-05;1,6;949,9;20,7;32,4;25;20,5;79,5;45;8,1;1,3;
2011-01-06;,8;951,1;21,3;30,4;23,5;21;88;57;7,6;1,3;
2011-01-07;2,8;951,6;21,3;31,6;24,3;21;84,8;51;8,3;1;
2011-01-08;7,2;951,6;21,3;29,8;23,1;21,2;90,4;61;8,2;1,2;
2011-01-09;12,6;950,1;21;31,5;24,4;20,7;82,2;53;7,2;1,4;
2011-01-10;,2;947,5;21,3;30,8;24,3;20,1;84,7;54;6,9;1,2;
2011-01-11;1,6;945,9;21,5;27,7;23,2;20,7;90,3;72;7,3;1,2;
2011-01-12;1,6;946,6;21,5;30,5;24,9;21,1;82,8;59;9,4;1,8;
2011-01-13;2,6;946,9;21,1;29,6;24,1;21,9;84,3;59;10,3;2,2;
2011-01-14;7,6;948,7;21,6;30,4;24,3;21,2;85,8;61;8,1;1,5;
2011-01-15;2,6;948;21,5;30,7;24,4;20,4;85,1;58;11,2;1,1;
2011-01-16;22;947,9;21,2;32,1;23,9;20,1;86,5;54;12,9;1,2;
2011-01-17;13,8;951;20,8;30,5;23,6;20,6;85,4;53;7,8;1;
2011-01-18;1,4;950,3;20,8;30,4;23,8;20,4;84,8;56;5,8;,9;
2011-01-19;,4;948,5;20,8;32,9;25,1;20,6;79,1;46;9,2;1,2;
2011-01-20;0;948,8;20,6;29,6;23,5;20,1;84,5;59;8,4;1;
2011-01-21;,8;947,9;20,2;34,5;26,1;20,1;74,8;33;5,4;1,2;
2011-01-22;0;949,6;20,5;33,8;26,4;21,9;72,9;41;11,7;1,5;
2011-01-23;1,8;952,1;20,2;33;26,3;20,7;72,5;41;5,6;1;
2011-01-24;1,8;951,8;20,2;33,5;26,2;20,3;72,1;41;12,8;1,3;
2011-01-25;0;951,2;19,6;33,6;26,7;20,9;68,9;36;6,2;1;
2011-01-26;0;951,1;19;34,3;26,7;19,8;66,8;33;5,5;1,2;
2011-01-27;0;951,1;19,7;34,4;26,3;20,1;69,8;35;7,3;1,5;
2011-01-28;0;951,7;19,7;33,7;25,8;20;71,6;37;8,4;1,1;
2011-01-29;1,6;953,3;20;34,3;25;20,4;76;40;9,2;1,2;
2011-01-30;28;953,7;20,4;33,3;25,1;19,9;77,4;39;5,2;,8;
2011-01-31;,2;951,8;20,5;33,8;26,2;21,3;72,2;41;7,3;1,2;
2011-02-01;22,6;953,1;19,7;31,6;24,4;19;77,3;44;8,7;1,3;
2011-02-02;0;951,8;20,3;33;25,5;21,5;75,5;35;9,6;1,4;
2011-02-03;,4;951,5;20,2;32,3;23,3;19,9;84,2;49;7,2;1,4;
2011-02-04;3,8;950,9;20,4;32,3;24,7;20,8;79;46;10,3;1,5;
2011-02-05;0;950,2;19,3;34,5;25,2;19,5;73,2;36;6,5;1,3;
2011-02-06;0;950,7;19,4;34,5;26,2;20,1;69;35;6,9;1,3;
2011-02-07;0;952,2;19,6;34,2;25,3;20,6;73,8;36;10,8;1,2;
2011-02-08;4,6;952,5;19,5;34,1;25;19,6;74,8;34;10,7;1,3;
2011-02-09;0;950,6;20,2;32,5;26;21;73,2;45;8,3;1,5;
2011-02-10;0;949,3;20,3;34,5;25,9;20,4;73,7;35;10,8;1,4;
2011-02-11;0;951,8;20,3;32,7;25,2;20,5;76,5;44;5,1;1,1;
2011-02-12;0;952;19,9;34,1;25,3;20,3;74,8;40;11,5;1,2;
2011-02-13;0;951,4;20;33;24,8;19,9;76,3;45;6,5;1,3;
2011-02-14;,4;951,6;19,9;32;24,7;20,4;76,8;47;5,4;1,2;
2011-02-15;5,6;951;20,5;31,3;23,9;21,1;82,6;51;8,1;1,3;
2011-02-16;15;951,8;20,5;33;24,1;20,6;82,8;44;8,3;1,4;
2011-02-17;66,6;952,7;20,6;30,5;23,9;20,3;83;56;6,7;1,4;
2011-02-18;,2;952,2;20,2;32,8;23,1;20,2;85,2;48;12,8;1,5;
2011-02-19;7,8;951,8;19,4;32,9;24,7;19;75,3;39;11,7;1,2;
2011-02-20;1,6;951,5;17,6;34,6;25,5;18,6;67,5;24;6,1;1,2;
2011-02-21;0;952,6;18,2;34,6;25,9;19,2;66,1;33;7,1;1,2;
2011-02-22;0;952,2;18,9;33,2;25,6;20,3;69,1;37;7,8;1,4;
2011-02-23;0;948,9;19,9;33,8;26,3;20,2;71,2;37;7,2;1,5;
2011-02-24;1,8;949,2;20,2;33,7;25;19,8;77,4;42;11,1;1,7;
2011-02-25;6;949,9;20,8;33,6;24,9;20,4;80,5;44;8,9;1,3;
2011-02-26;7,8;949,3;20,9;31,6;24,8;21,6;81,1;45;6,9;1,2;
2011-02-27;11,2;948,4;21,8;32,7;24,6;21,9;85,8;49;6,9;1,2;
2011-02-28;28,8;948,9;21,1;29,4;23,5;19,2;87,3;63;7,9;1,7;
2011-03-01;2,8;948,9;20,4;28,5;23,4;20,2;83,7;60;6,6;1,4;
2011-03-02;9,8;949,9;20,5;25,6;22;20,1;91,4;75;6,6;1,6;
2011-03-03;36;951;20,3;23,2;21;20,1;95,3;88;8,8;2,2;
2011-03-04;24,4;950,8;20,1;23,1;20,8;19,3;95,8;90;5;1,4;
2011-03-05;22,4;949,8;20,7;25;21,8;19,8;93,8;80;5,1;1,1;
2011-03-06;23,4;949,2;20,7;27,3;22,3;20,3;91;71;6,8;1,2;
2011-03-07;12,4;949,8;20,6;28,7;22,4;20,4;90,7;61;6,9;,9;
2011-03-08;14,6;950,7;20,6;28,4;22,7;20;88,5;64;6,7;1,3;
2011-03-09;3,6;949,8;21;30,4;23,4;20,3;87,3;53;4;,8;
2011-03-10;27,6;949,2;21,1;29,4;23,2;20,2;88,7;64;5,4;1,1;
2011-03-11;3;949,1;20,6;30,8;23,4;20,5;85,7;52;9,1;1,3;
2011-03-12;11,6;948,3;21,2;28,9;23,8;20,7;86,6;62;7,3;1;
2011-03-13;16,8;946,3;20,6;29,6;23,3;19,4;85,7;55;8;1,5;
2011-03-14;0;945,6;20,8;31,4;24,7;20,8;80,7;50;7,4;1,7;
2011-03-15;30;949,3;21,2;29,1;23,7;20;86,8;63;6;1,2;
2011-03-16;5;952;20,7;30,2;23,5;20,4;85,2;58;8,1;1,7;
2011-03-17;31,6;951,2;21,3;30,7;24,1;20,9;85,2;59;4,1;1;
2011-03-18;0;950,8;21,4;28,9;23,5;21,3;88,9;66;7,3;,7;
2011-03-19;14,2;950,1;21,4;30,4;24;21,1;86,9;60;12,1;1,7;
2011-03-20;12,8;951,8;19,2;25;22,2;19,8;83,7;69;10;2,4;
2011-03-21;,8;952;19,3;25,8;21,8;20,1;86;68;8;2,1;
2011-03-22;1,4;951,9;19,8;25,2;21,9;19,8;88,3;70;5,8;1,4;
2011-03-23;,8;953,4;19,7;27,4;22,5;19,6;85,2;62;8,1;1,2;
2011-03-24;8,6;954,7;20,1;27,6;22,4;19,3;87,3;64;5,7;,8;
2011-03-25;,4;952,6;20;32;23,9;18,6;81,2;46;9,7;1;
2011-03-26;5;951,2;20,5;33,2;25,1;19,3;77,9;44;4,3;,9;
2011-03-27;0;951,1;20,9;33,6;26,1;20,9;75,9;40;3,9;,8;
2011-03-28;17;952,4;21;32,4;25;19,8;80;50;9,8;1,5;
2011-03-29;,2;953,2;20,4;31,7;24,4;20,2;79,8;47;9;1,1;
2011-03-30;,2;952,9;20,2;31,5;null;19,1;82,8;50;5,3;1,1;
2011-03-31;null;951,6;19,9;32,7;25;19,4;75,9;42;5,4;1,2;
2011-04-01;0;951,2;19,9;33,2;25,6;19,9;73,5;41;5,6;1,1;
2011-04-02;0;951,1;20;27,6;23,1;20,4;83,5;66;10,5;1,3;
2011-04-03;,2;950,4;19,4;27,7;22,6;19,3;83,7;57;6;,8;
2011-04-04;0;949,9;19,8;29,6;23;19,4;83,1;58;8,3;1,5;
2011-04-05;,2;950,8;20,5;30;22,7;20;88,3;55;10;1;
2011-04-06;9,8;952,7;18;30,3;22,4;17,6;80,2;35;3,8;,7;
2011-04-07;,2;953,1;16,1;30,9;22,4;15,2;71,5;33;5,1;,9;
2011-04-08;0;953,8;16,3;30,9;23,1;16,6;68,5;32;5;1,1;
2011-04-09;0;953,8;17,5;31,6;22,9;16,7;73,7;40;9,2;1,3;
2011-04-10;0;952,9;17,8;30,2;22;15,9;79;44;7,4;1;
2011-04-11;8,4;953,1;18,8;31,3;23,5;17,4;77,5;46;12,6;1,4;
2011-04-12;0;951,2;19,5;32,5;24;18,2;78,4;42;6,8;1,1;
2011-04-13;15,8;953,5;18,3;28,4;21,6;18,3;82,8;52;12,1;1,8;
2011-04-14;,2;953,4;18,8;32,4;23,7;17,5;77;39;4,8;1;
2011-04-15;0;953,9;19,3;31,3;24,7;19;73,9;44;5,5;1,1;
2011-04-16;0;953,5;17,4;31,9;23,3;17;73;33;5,4;,9;
2011-04-17;0;953,7;17,5;31,6;23,8;17,3;70,6;37;5,3;1,3;
2011-04-18;0;955,5;17,5;31,4;23,5;17,2;71,9;38;6,2;1,1;
2011-04-19;0;955,3;17,2;31,8;23,3;16,5;72;35;5,8;1;
2011-04-20;0;953,7;17,7;31,1;23,5;17,7;72,4;41;7,1;1,2;
2011-04-21;0;952,9;17,3;31,8;23;17;73,6;36;4,8;,9;
2011-04-22;0;952,7;16,2;31,9;23,1;16,2;69,8;33;5,9;,9;
2011-04-23;0;953,1;17,1;32,3;23,4;16,5;70,7;34;4,9;,9;
2011-04-24;,2;952,7;17,2;31,9;23,4;16,7;71,7;34;4,5;,8;
2011-04-25;0;953,5;18;31,8;23,3;18;75,3;38;10,1;1,4;
2011-04-26;3,2;955,2;18,3;27;21,3;18,3;83,8;63;7,1;1,7;
2011-04-27;1;956,4;17,6;26,7;20,7;17,7;83,4;57;8,3;2,1;
2011-04-28;14,2;955,9;16,7;23;18,7;15,6;89;68;8,9;1,2;
2011-04-29;0;954,1;14,8;29,4;20,5;14;74,6;30;6;,9;
2011-04-30;,2;952,5;14,5;30,4;20,5;12,6;73,5;29;5,7;,9;
2011-05-01;0;952,6;17,5;30,4;21,1;16,1;82,3;44;9,2;,8;
